"","curveID","J_ref","J_ref_SE","J_ref_var","E","E_SE","E_var","E_D","E_D_SE","E_D_var","T_opt","T_opt_SE","T_opt_var","Topt_ED_cov","Topt_ED_cor","Amax","AIC","r_sq","breadth_90"
"38",47,41.1469008153804,2.57196108730038,6.61498383458734,0.55624087879157,0.0230272121620532,0.000530252499956212,0.772556697970715,0.00930208863445821,8.65288529633166e-05,30.4531049619407,0.0612902173076891,0.00375649073762375,-0.000368136575743305,-0.645709734681122,16.9950477824747,-339.355999334073,0.990349473334145,14.8
"39",48,15.5091774733669,0.107514688668283,0.0115594082794379,0.193003975713343,0.00472226699351664,2.22998055580567e-05,1.40030086323361,0.0381341668760087,0.00145421468332728,29.5617620378371,0.0744319799764551,0.00554011964321541,0.00260291789261996,0.9170365260331,14.9737357820378,-231.142784926672,0.973381962938122,10.6
"40",49,10.2276230573204,0.0133854858710107,0.000179171232003026,0.177247473213233,0.0018204014852436,3.31386156747712e-06,4.98752366287069,0.189014715932329,0.0357265628389791,37.2890375438753,0.0569415001529959,0.00324233443967364,0.00970220089418754,0.901458504538162,12.9606492037885,-189.952460304521,0.985112399641693,6.10000000000001
"41",50,8.30581535080749,0.00755124626408764,5.70213201408976e-05,0.123076524334218,0.00142046015860813,2.01770706219303e-06,3.65071766859128,0.0373415195947854,0.00139438908564774,34.1706069450574,0.040770131841416,0.00166220365036644,0.0014409805755145,0.946507420887565,9.25870293473612,-669.673466408447,0.991423157097377,8.5
"42",51,12.0164402414499,0.0149230555756945,0.000222697587715265,0.0605977038503066,0.00222381189654073,4.9453393511961e-06,3.77780887955117,0.0463883406536701,0.00215187814860094,32.3862446746411,0.058297946376855,0.00339865055175866,0.00169179091115533,0.625582502859607,12.5172197947015,-176.799101980741,0.992924115444393,12.5
"43",52,12.2421166010238,0.00802610039138188,6.44182874925404e-05,0.0397786255479944,0.00141894641829836,2.01340893800174e-06,2.96889785817334,0.0331726429618353,0.0011004242410734,32.1589835754822,0.0519371349836454,0.0026974659903094,0.000682243404868918,0.395987323001796,12.5244894763879,-706.382095317176,0.997001802899092,17.8
"44",53,12.9659979680435,0.0170470255876576,0.000290601081386254,0.107239622915291,0.00190152941448643,3.61581411415712e-06,2.36524307275869,0.0436862331474533,0.00190848696661364,33.6566173895704,0.0727379964158718,0.00529081612259538,0.00302388046598962,0.951609318486567,13.9246851892206,-266.625553194633,0.978892694936215,11
"45",54,15.5906093514717,0.0276693258454092,0.000765591592739429,0.0595290869407795,0.00311678513517188,9.71434957882841e-06,2.38378277523331,0.0757774818524483,0.00574222675589813,32.3579919332301,0.131651992679458,0.0173322471764721,0.00856868547685043,0.858907896843254,16.0733876121916,118.947593699478,0.960740048089484,15.1
"46",55,16.1033837354973,0.0163456232681334,0.000267179400023744,0.146441363344569,0.00128181905951231,1.64306010132902e-06,2.05237848891545,0.0227474033142212,0.000517444357539842,33.2022239175408,0.0376239701445113,0.00141556312943508,0.000817158408795817,0.954794272582337,17.4189888208643,-576.359857093449,0.993524034714618,10
"47",56,14.2722143161048,0.0367729140386479,0.00135224720689379,0.0453884269637889,0.00505362892357301,2.55391652971737e-05,2.89880967976269,0.102111800865522,0.0104268198760001,32.6851063325016,0.183873095332442,0.0338093151871333,0.00902574737363739,0.480716524358383,14.6862383870834,408.959184105601,0.967433479421368,16.6
"48",57,11.2230263859008,0.00622037333506841,3.869304442763e-05,0.110782906470342,0.000842877865350358,7.10443095897576e-07,3.56993943029172,0.0355878936392324,0.00126649817367732,34.8954688480879,0.0329849046646553,0.0010880039357364,0.00113062000530115,0.963161575643519,12.4898041171098,-769.151161805209,0.993506980571561,9.1
